"Topic","Type of topic","BL record ID","Type of resource","Content type","Material type","BNB number","ISBN","ISSN","Name","Dates associated with name","Type of name","Role","All names","Title","Variant titles","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of publication","Edition","Physical description","Dewey classification","BL shelfmark","Genre","Languages","Notes"
"18.05 English literature","general term","019681015","Monograph","Language material ; Text","Volume","GBC007865","9781108469883","","Martens, Marianne","","person","author","Martens, Marianne, author [person]","The forever fandom of Harry Potter : balancing fan agency and corporate control","","Cambridge elements. Elements in publishing and book culture","","England ; United States of America","Cambridge ; New York","Cambridge University Press","2019","","111 pages, illustrations, 19 cm","823.914","","","English","ISSN 2514-8516 from title page verso. ISSN 2514-3794 on back cover is that of a different series"
"1997-2011","chronological term","017374702","Monograph","Language material ; Text","Volume","","9783826056444","","Woiwod, Uta","","person","author","Woiwod, Uta, author [person]","Die literarische Kommunikationsspirale : strukturelle Wechselwirkungen zwischen literarischem Text und Rezeption in der angelsächsischen Kinder- und Jugendliteratur des späten 20./frühen 21. Jahrhunderts","","Epistemata. Reihe Literaturwissenschaft","Band 829, 2015 [Epistemata. Reihe Literaturwissenschaft]","Germany","Würzburg","Königshausen & Neumann","2015","","556 pages, 15 black and white illustrations, 24 cm","","X.0950/333 (829)","","English ; German","Originally presented as the author's thesis (doctoral) --Universität Köln"
"Adaption","general term","020560826","Monograph","Language material ; Text","Online resource","GBC275732","9781789380712 ; 9781789380729","","","","","","Frankel, Valerie Estelle, 1980-, editor [person]","Fan phenomena. Harry Potter","Harry Potter","Fan phenomena","","United States of America","Chicago, Illinois","University of Chicago Press","2019","","1 online resource","791.4372","ELD.DS.685988","","English",""
"Adolescence in literature","general term","015995580","Monograph","Language material ; Text","Volume","GBB1E4431","9780786466740","","Saxena, Vandana","1977-","person","","Saxena, Vandana, 1977- [person]","The subversive Harry Potter : adolescent rebellion and containment in the J.K. Rowling novels","","","","United States of America","Jefferson, North Carolina","McFarland","2012","","vii, 210 pages, 23 cm","823.914","YC.2012.a.12301","","English",""
"Advent calendars--Specimens","general term","020487261","Monograph","Language material ; Still image ; Text ; Three-dimensional form","Card ; Volume","GBC2G9984","9781178098686","","","","","","","Holiday magic : official Advent calendar : 25 days of surprises, with mini books, mementos, and more!","Harry Potter holiday magic","","","England","London","Titan","2021","","1 volume (unpaged), colour illustrations, 37 cm","791.4375","LC.31.b.23644","Pictorial work ; Specimen","English","'More than 40 surprises ... From fun mini booklets to Hogwarts house-inspired coasters, a keychain, stationery, and much more ... to delight fans of all ages!' -- Back cover ; 'Wizarding world' ; At head of title: 'From the films of Harry Potter'"
"Adventure stories--History and criticism","general term","018099664","Monograph","Language material ; Text","Volume","","9789170612251","","Alkestrand, Malin","1986-","person","","Strandberg, Mats, 1976- [person] ; Colfer, Eoin [person] ; Rowling, J. K. [person] ; Alkestrand, Malin, 1986- [person]","Magiska möjligheter : Harry Potter, Artemis Fowl och Cirkeln i skolans värdegrundsarbete","Artemis Fowl ; Cirkeln ; Harry Potter","Svenska barnboksinstitutets skriftserie","137 [Svenska barnboksinstitutets skriftserie]","Sweden","Göteborg","Makadam","2016","","349 pages, illustrations, 21 cm","","X.0900/633 (137)","","English",""
"Advertising--Brand name products","general term","013180862","Monograph","Language material ; Text","Volume","GBA534250","9781904879305","","Brown, Stephen","1955 March 23-","person","","Brown, Stephen, 1955 March 23- [person]","Wizard! : Harry Potter's brand magic","","Great brand stories","","England","London","Cyan","2005","","191 pages, illustrations, 18 cm","658.827","YK.2008.a.5468 ; m06/.35049","","English",""
"African Americans--Intellectual life","general term","019440672","Monograph","Language material ; Text","Volume","","9781479800650","","Thomas, Ebony Elizabeth","1977-","person","author","Thomas, Ebony Elizabeth, 1977-, author [person]","The dark fantastic : race and the imagination from Harry Potter to The hunger games","A queen out of place : dark fantastic dreaming and the spacetime politics of Gwen in BBC's Merlin -- ; Hermione is black : a postscript on Harry Potter and the crisis of infinite dark fantastic worlds -- ; Lamentations of a Mockingjay : The hunger games' Rue and racial innocence in the dark fantastic -- ; The curious case of Bonnie Bennett : The vampire diaries and the monstrous contradiction of the dark fantastic -- ; Toward a theory of the dark fantastic --","Postmillennial pop","","United States of America","New York","New York University Press","2019","","vii, 225 pages, illustrations, 24 cm","813.08766093552 ; 813.8766093552","m19/.11079","Criticsm and interpretation","English",""
"Alchemy in literature","general term","020304996","Monograph","Language material ; Text","Volume","GBC263041","9781476681344","","","","","","Mamary, Anne J. M., 1964-, editor [person]","The alchemical Harry Potter : essays on transfiguration in J.K. Rowling's novels","","","","United States of America","Jefferson, North Carolina","McFarland","2021","","xi, 311 pages, black and white illustrations, 23 cm","823.914","YKL.2022.a.10080","","English",""
"Alchemy--Juvenile fiction","general term","007716549","Monograph","Language material ; Text","Volume","GB99X1777","9780747545729","","Rowling, J. K.","","person","","Rowling, J. K. [person]","Harry Potter and the philosopher's stone","","","","England","London","Bloomsbury","1999","Special edition","224 pages, 24 cm","823.914","","","English","Originally published: 1997"
"Allusions in literature","general term","018375958","Monograph","Language material ; Text","Volume","GBB796499","9781138284661 ; 9781138284678","","Groves, Beatrice","1978-","person","author","Groves, Beatrice, 1978-, author [person]","Literary allusion in Harry Potter","","","","England","London","Routledge","2017","","1 volume, 24 cm","823.92","","","English","Additional physical form: ebook version. 9781351978729"
"Allusions in literature","general term","018377560","Monograph","Language material ; Text","Online resource (ebook ; Mobipocket ebook ; PDF ebook ; ePub ebook)","GBB798100","9781315269337 ; 9781351978712 ; 9781351978729 ; 9781351978736","","Groves, Beatrice","1978-","person","author","Groves, Beatrice, 1978-, author [person]","Literary allusion in Harry Potter","","","","England","London","Routledge","2017","","1 online resource","823.914","ELD.DS.147235","","English","Additional physical form: Print version. 9781138284661"
"Anelli, Melissa","person","014686380","Monograph","Language material ; Text","Volume","GBA896818","9781847394583","","Anelli, Melissa","","person","","Anelli, Melissa [person]","Harry, a history : the true story of a boy wizard, his fans, and life inside the Harry Potter phenomenon","","","","England","London","Pocket","2008","","xii, 356 pages 8 pages plates, 20 cm","823.914","YK.2010.a.6860","","English",""
"Anger","general term","015893890","Monograph","Language material ; Text","Volume","GBC037908","9781921479311","","Sykley, Julie-Anne","","person","author","Sykley, Julie-Anne, author [person]","Harry Potter power : free your inner power","","","","Australia","Brisbane","Glass House","2010","","x, 258 pages, black and white illustrations, 23 cm","152.4","YD.2011.a.7933 ; YKL.2020.a.5318","","English",""
"Animals, Mythical","general term","019048223","Monograph","Language material ; Still image ; Text","Volume","GBB8G7456","9780008204655","","Bergstrom, Signe","","person","author","Bergstrom, Signe, author [person]","The archive of magic : the film wizardry of Fantastic beasts: the crimes of Grindelwald","","","","England","London","HarperCollins","2018","","159 pages, chiefly illustrations (black and white and colour), 29 cm","791.4372","LC.31.b.21003","","English","Includes removable facsimile reproductions of props and paper ephemera from the movie ; Page 4 of cover folds over front of book and magnetically locks in place ; Some pages folded out"
"Animals, Mythical--Juvenile literature","general term","011935492","Monograph","Language material ; Text","Volume","GBA167195","9780141314815","","Colbert, David","","person","","Colbert, David [person]","The magical worlds of Harry Potter : a treasury of myths, legends and fascinating facts","","","","England","London","Puffin","2001","","224 pages, 20 cm","823.914","YK.2002.a.22003","Children's literature","English",""
"Animals, Mythical--Juvenile literature","general term","012919325","Monograph","Language material ; Text","Volume","GBA432331","9780141317380","","Colbert, David","","person","","Colbert, David [person]","The magical worlds of Harry Potter : a treasury of myths, legends and fascinating facts","","","","England","London","Puffin","2003","Fully updated edition","285 pages, illustrations, 20 cm","823.914","YK.2005.a.13541","Children's literature","English","Previous edition: 2001"
"Animals, Mythical--Juvenile literature","general term","014556698","Monograph","Language material ; Text","Volume","GBA890229","9781843173021","","Colbert, David","","person","","Colbert, David [person]","The magical worlds of Harry Potter : a treasury of myths, legends and fascinating facts","","","","England","London","Michael O'Mara","2007","New, expanded and updated edition","319 pages, illustrations, 20 cm","823.914","YK.2009.a.14242","Children's literature","English","Previous edition: 2003"
"Animals, Mythical--Juvenile literature","general term","019040262","Monograph","Language material ; Still image ; Text","Volume","GBB8G3381","9781526605849","","","","","","Warner Bros. Pictures (1969-) [organisation]","Harry potter - creatures : a paper scene book","","","","England","London","Bloomsbury","2018","","1 volume, illustrations, 23 x 31 cm","791.4375","","Children's literature","English",""
"Animals, Mythical--Pictorial works--Juvenile literature","general term","013431849","Monograph","Language material ; Text","Volume","GBA634032","9781405902052","","","","","","GrandPré, Mary [person] ; Finch, Keith, 1966- [person] ; Rowling, J. K. [person]","Magical creatures : a hanging pop-up book","","Harry Potter","","England","London","BBC Worldwide","2006","","12 pages, illustrations, 13 cm","823.914","YK.2014.a.7054","Children's literature ; Pictorial work ; Specimen","English","Based on the characters by J.K. Rowling ; Pop-up book, with ribbon ties attached to covers ; Text and illustrations on inside covers ; Title from cover ; book designed to be opened fully and hung up"
"Anxiety--Popular works","general term","015893890","Monograph","Language material ; Text","Volume","GBC037908","9781921479311","","Sykley, Julie-Anne","","person","author","Sykley, Julie-Anne, author [person]","Harry Potter power : free your inner power","","","","Australia","Brisbane","Glass House","2010","","x, 258 pages, black and white illustrations, 23 cm","152.4","YD.2011.a.7933 ; YKL.2020.a.5318","","English",""
"Apocalyptic literature--History and criticism","general term","014644440","Monograph","Language material ; Text","Volume","","9785170405848 ; 9785946633291","","Kuraev, Andreĭ","","person","","Kuraev, Andreĭ [person] ; Кураев, Андрей [person]","Fantazii︠a︡ i pravda 'Koda da Vinchi","Фантазия и правда 'Кода да Винчи'","","","Russia","Moskva ; Москва","Zebra E ; Зебра Е","2007","","526 pages, 21 cm","","YF.2008.a.22231","","Russian",""
"Archetype (Psychology) in literature","general term","017604907","Monograph","Language material ; Text","Volume","GBB5G0133","9781936367696","","Lutters, Frans","1958-","person","author","Mees, Philip, translator [person] ; Lutters, Frans, 1958-, author [person]","Who is Harry Potter?","Wie is Harry Potter?. English","","","United States of America","Chatham, New York","Waldorf Publications","2015","","71 pages, black and white illustrations, 22 cm","823.914","YKL.2018.a.11725","","English","Translated from the Dutch"
"Archetype (Psychology)","general term","014471912","Monograph","Language material ; Text","Volume","","9783890944869","","Hauf, Monika","","person","","Hauf, Monika [person]","Die Marke 'Harry Potter' : eine Auslegung im Sinne von C. G. Jung ; ein Erfolg der Archetypen","","","","Germany","Leipzig","Bohmeier","2006","1st Auflage","150 pages, 21 cm","133 ; 823.914","YF.2009.a.9359","","German",""
"Archetypus","general term","014471912","Monograph","Language material ; Text","Volume","","9783890944869","","Hauf, Monika","","person","","Hauf, Monika [person]","Die Marke 'Harry Potter' : eine Auslegung im Sinne von C. G. Jung ; ein Erfolg der Archetypen","","","","Germany","Leipzig","Bohmeier","2006","1st Auflage","150 pages, 21 cm","133 ; 823.914","YF.2009.a.9359","","German",""
"Associated Board of the Royal Schools of Music (Great Britain)--Examinations","organisation","016498747","Monograph","Notated music ; Performed music","Audio disc ; Volume","","9781848495067","","Associated Board of the Royal Schools of Music (Great Britain)","","organisation","","Stapleton, Dave, 1979- [person] ; Salter, Lionel [person] ; Sogni, Angela, musician [person] ; Wastall, Peter [person] ; Rae, James [person] ; Luypaerts, Guy-Claude, 1949- [person] ; Demersseman, Jules, 1833-1866 [person] ; McDowall, Cecilia [person] ; Tulou, Jean-Louis, 1786-1865 [person] ; Harris, Paul, 1956- [person] ; Lawrance, Peter [person] ; Shaw, Richard, pianist [person] ; Thomas, Kathryn, 1973- [person] ; Lyons, Graham, 1936- [person] ; Ledbury, Oliver [person] ; Grétry, André-Ernest-Modeste, 1741-1813 [person] ; Adams, Sally, musician [person] ; Doyle, Patrick, 1953- [person] ; Gatti, Giovanni [person] ; Offenbach, Jacques, 1819-1880 [person] ; Mozart, Wolfgang Amadeus, 1756-1791 [person] ; Boyce, William, 1711-1779 [person] ; Burton, Anthony, writer [person] ; Kelly, Bryan [person] ; Gariboldi, G. [person] ; Gordon, David, 1965- [person] ; Telemann, Georg Philipp, 1681-1767 [person] ; Bullard, Alan, 1947- [person] ; Arrieu, Claude, 1903-1990 [person] ; Milford, Robin, 1903-1959 [person] ; Associated Board of the Royal Schools of Music (Great Britain) [organisation] ; Schubert, Franz, 1797-1828 [person] ; Pergolesi, Giovanni Battista, 1710-1736 [person] ; Denley, Ian, musician [person] ; Grieg, Edvard, 1843-1907 [person] ; Stephen, Ros [person]","Flute exam pieces : ABRSM grade 3 : selected from the 2014-2017 syllabus","Airs ; Amazonian mood ; Barcelona ; Chanson de la pastoure ; Chanson serbe ; Cinq sets ; Cool flute ; Don Giovanni ; Exercices journaliers ; Full on ; Harry Potter and the goblet of fire ; Hazelnote crunch ; High five ; Hole in my shoe ; Insouciance ; Menuette mit Trios ; Norwegische Tänze ; Overtures ; Panurge dans l'isle des lanternes ; Plaintive flute ; Progressive flute studies ; Serenades ; St Lucia ; Study ; Symphonies ; Toffee tango ; Tre giorni son che Nina ; Vie parisienne ; Waltzer ; Whistlin'","","","England","London","ABRSM","2013","Score, parts and CD","1 score (13 pages) + 1 part (10 pages), 31 cm + 1 CD","788.32","g.1787.w./2014-2017","","","3 pieces are for solo flute; the other 6 have piano accompaniment ; 9 pieces from the Associated Board of the Royal Schools of music examination syllabus for grade 3 flute ; CD contains full demonstration tracks for all 30 pieces on the syllabus and backing tracks for those with piano accompaniment, performed by Kathryn Thomas (flute) and Richard Shaw (piano) ; Cover title ; Includes notes on the pieces by Anthony Burton"
"Authors and readers","general term","019681015","Monograph","Language material ; Text","Volume","GBC007865","9781108469883","","Martens, Marianne","","person","author","Martens, Marianne, author [person]","The forever fandom of Harry Potter : balancing fan agency and corporate control","","Cambridge elements. Elements in publishing and book culture","","England ; United States of America","Cambridge ; New York","Cambridge University Press","2019","","111 pages, illustrations, 19 cm","823.914","","","English","ISSN 2514-8516 from title page verso. ISSN 2514-3794 on back cover is that of a different series"
"Authors, English--Biography","general term","012689218","Monograph","Language material ; Text","Volume","GBA2X8534","9781855143425","","Eccleshare, Julia","","person","","Hove Museum and Art Gallery [organisation] ; Durham Art Gallery (Durham, England) [organisation] ; National Portrait Gallery (Great Britain) [organisation] ; Eccleshare, Julia [person]","Beatrix Potter to Harry Potter : portraits of children's writers","","","","England","London","National Portrait Gallery","2002","","136 pages, illustrations (some colour), portraits (some colour), 22 cm","778.92","YC.2002.a.14589","Biography ; Exhibition","English","Catalogue of an exhibition held at the National portraits Gallery, London, 15 May - 26 August 2002, Durham Art Gallery, 14 December 2002 - 26 January 2003 and Hove Museum and Art Gallery, 10 April - 10 June 2003"
"Authors, English--Portraits--Exhibitions","general term","012689218","Monograph","Language material ; Text","Volume","GBA2X8534","9781855143425","","Eccleshare, Julia","","person","","Hove Museum and Art Gallery [organisation] ; Durham Art Gallery (Durham, England) [organisation] ; National Portrait Gallery (Great Britain) [organisation] ; Eccleshare, Julia [person]","Beatrix Potter to Harry Potter : portraits of children's writers","","","","England","London","National Portrait Gallery","2002","","136 pages, illustrations (some colour), portraits (some colour), 22 cm","778.92","YC.2002.a.14589","Biography ; Exhibition","English","Catalogue of an exhibition held at the National portraits Gallery, London, 15 May - 26 August 2002, Durham Art Gallery, 14 December 2002 - 26 January 2003 and Hove Museum and Art Gallery, 10 April - 10 June 2003"
"Authors--Great Britain--Biography","general term","008968596","Monograph","Language material ; Text","Volume","","9789188818652","","Törnqvist, Evastina","","person","","Törnqvist, Evastina [person]","Den lille trollkarlen : en bok om J.K. Rowling och Harry Potter","","","","Sweden","Viken","Replik","2002","","223 pages, 22 cm","","YF.2004.a.15715","Biography","Swedish",""
"Baked products--Juvenile literature","general term","020180263","Monograph","Language material ; Still image ; Text","Volume","GBC168147","9780702311680","","Farrow, Joanna","","person","author","Farrow, Joanna, author [person]","The official Harry Potter baking book","","Harry Potter","","England","London","Scholastic","2021","","1 volume, illustrations, 26 cm","641.815","","Children's literature","English",""
"Baked products--Juvenile literature","general term","020250337","Monograph","Language material ; Still image ; Text","Online resource (ePub ebook)","GBC1A7358","9780702314254","","Farrow, Joanna","","person","author","Farrow, Joanna, author [person]","The official Harry Potter baking book","","Harry Potter","","England","London","Scholastic","2021","","1 online resource, illustrations","641.815","","Children's literature","English","Additional physical form: Print version. 9780702311680"
"Baking--Juvenile literature","general term","020180263","Monograph","Language material ; Still image ; Text","Volume","GBC168147","9780702311680","","Farrow, Joanna","","person","author","Farrow, Joanna, author [person]","The official Harry Potter baking book","","Harry Potter","","England","London","Scholastic","2021","","1 volume, illustrations, 26 cm","641.815","","Children's literature","English",""
"Baking--Juvenile literature","general term","020250337","Monograph","Language material ; Still image ; Text","Online resource (ePub ebook)","GBC1A7358","9780702314254","","Farrow, Joanna","","person","author","Farrow, Joanna, author [person]","The official Harry Potter baking book","","Harry Potter","","England","London","Scholastic","2021","","1 online resource, illustrations","641.815","","Children's literature","English","Additional physical form: Print version. 9780702311680"
"Bereavement in adolescence","general term","014493115","Monograph","Language material ; Text","Volume","GBA806186","9780415957656","","Markell, Kathryn A.","","person","","Markell, Kathryn A. [person] ; Markell, Marc A. [person]","The children who lived : using Harry Potter and other fictional characters to help grieving children and adolescents","","","","England ; United States of America","London","Routledge","2008","","xxvi, 182 pages, illustrations, 23 cm + 1 CD (4 3/4 in)","155.937083","EMC.2008.a.679 ; Vm09/.5052","","English",""
"Bereavement in children","general term","014493115","Monograph","Language material ; Text","Volume","GBA806186","9780415957656","","Markell, Kathryn A.","","person","","Markell, Kathryn A. [person] ; Markell, Marc A. [person]","The children who lived : using Harry Potter and other fictional characters to help grieving children and adolescents","","","","England ; United States of America","London","Routledge","2008","","xxvi, 182 pages, illustrations, 23 cm + 1 CD (4 3/4 in)","155.937083","EMC.2008.a.679 ; Vm09/.5052","","English",""
"Best books","general term","012669161","Monograph","Language material ; Text","Volume","GBA117612","9780901922359","","Campbell, Alasdair","","person","","Librarians of Institutes and Schools of Education [organisation] ; Campbell, Alasdair [person]","From Goggle-eyes to Harry Potter : a ten year supplement to outstanding children's books (1932-1988) listing 315 winners of awards of official commendations during the period from 1989 to 1998","","","","England ; Wales","Swansea","Librarians of Institutes & Schools of Education","1999","","47 pages, 21 cm","016.8239140809282","YC.2001.a.6162","","English","Includes indexes"
"Bible","title","018901554","Monograph","Language material ; Text","Online resource","GBB8B0691","9780829777437","","Abanes, Richard","","person","","Abanes, Richard [person]","Harry Potter y la Biblia : la amenaza tras la magica","Harry Potter and the Bible. Spanish","","","United States of America","Miami, Florida","Editorial Vida","2003","","1 online resource (xiv, 264 pages)","823.914","ELD.DS.294874","Criticsm and interpretation","Spanish","Translation of: Harry Potter and the Bible : the menace behind the magick"
"Bible--In literature","title","015378096","Monograph","Language material ; Text","Volume","","9780881461626","","Killinger, John","","person","","Killinger, John [person]","The life, death, and resurrection of Harry Potter","","","","United States of America","Macon, Georgia","Mercer University Press","2009","1st edition","164 pages, 23 cm","823.914","m09/.33916","","English",""
"Bible--In literature","title","018901554","Monograph","Language material ; Text","Online resource","GBB8B0691","9780829777437","","Abanes, Richard","","person","","Abanes, Richard [person]","Harry Potter y la Biblia : la amenaza tras la magica","Harry Potter and the Bible. Spanish","","","United States of America","Miami, Florida","Editorial Vida","2003","","1 online resource (xiv, 264 pages)","823.914","ELD.DS.294874","Criticsm and interpretation","Spanish","Translation of: Harry Potter and the Bible : the menace behind the magick"
"Bible--Study and teaching","title","011801794","Monograph","Language material ; Text","Volume","GBA248361","9781859995785","","","","","","Pollard, Nick [person] ; Scripture Union [organisation]","What does the Bible say about...Harry Potter : themes of magic, adolescence, ambition, good and evil","","Connect Bible studies","","England","Bletchley","Scripture Union","2001","","24 pages, 30 cm","","YK.2002.b.5095","","English","Cover title"
"Biopolitics in literature","general term","019886315","Monograph","Language material ; Text","Volume","GBC0B6502","9781527557550","","Ayyıldız, Nilay Erdem","","person","author","Ayyıldız, Nilay Erdem, author [person]","The exercise of biopower through race and class in the Harry Potter series","","","","England","Newcastle upon Tyne","Cambridge Scholars","2020","","1 volume, 21 cm","823.92","","","English",""
"Biopolitics in literature","general term","019900562","Monograph","Language material ; Text","Online resource","GBC103202","9781527558243","","Ayyıldız, Nilay Erdem","","person","author","Ayyıldız, Nilay Erdem, author [person]","The exercise of biopower through race and class in the Harry Potter series","","","","England","Newcastle upon Tyne","Cambridge Scholars","2020","","1 online resource (vi, 165 pages)","823.92","ELD.DS.543825","Criticsm and interpretation","English",""
"Books and reading","general term","016315248","Monograph","Language material ; Text","Volume","","9783828830103","","Himmelsbach, Silvia","","person","author","Himmelsbach, Silvia, author [person]","Harry Potters literarischer Zauber : eine Analyse zum Erfolg der Buchserie","","Wissenschaftliche Beiträge aus dem Tectum-verlag. Reihe Literaturwissenschaft","Band 26 [Wissenschaftliche Beiträge aus dem Tectum-verlag. Reihe Literaturwissenschaft]","Germany","Marburg","Tectum","2012","","volumes, 527, lviii, a 33 pages, black and white illustrations, 22 cm","","YF.2015.a.20982","Criticsm and interpretation","English ; German","Originally presented as the author's thesis (doctoral) --Universität des Saarlandes, 2011"
"Brand name products","general term","014566395","Monograph","Language material ; Text","Volume","GBA847535","9780230203235","","Gunelius, Susan","","person","","Gunelius, Susan [person]","Harry Potter : the story of a global business phenomenon","","","","England","Basingstoke","Palgrave Macmillan","2008","","xix, 194 pages, illustrations, 24 cm","658.812","YC.2009.a.7897","","English",""
"Brand name products--Marketing","general term","013180862","Monograph","Language material ; Text","Volume","GBA534250","9781904879305","","Brown, Stephen","1955 March 23-","person","","Brown, Stephen, 1955 March 23- [person]","Wizard! : Harry Potter's brand magic","","Great brand stories","","England","London","Cyan","2005","","191 pages, illustrations, 18 cm","658.827","YK.2008.a.5468 ; m06/.35049","","English",""
"Branding (Marketing)","general term","014566395","Monograph","Language material ; Text","Volume","GBA847535","9780230203235","","Gunelius, Susan","","person","","Gunelius, Susan [person]","Harry Potter : the story of a global business phenomenon","","","","England","Basingstoke","Palgrave Macmillan","2008","","xix, 194 pages, illustrations, 24 cm","658.812","YC.2009.a.7897","","English",""
"Brooms and brushes--Juvenile literature","general term","019928226","Monograph","Language material ; Still image ; Text","Volume","GBC0D3968","9781526629302","","Revenson, Jody","","person","author","Revenson, Jody, author [person]","The broom collection & other artefacts from the Wizarding World : from the films of Harry Potter","","","","England","London","Bloomsbury","2020","","145 pages (some folded), illustrations (black and white and colour), 16 x 31 cm","791.4375","LC.37.a.1786","Children's literature","English","Includes index"
"Brown, Dan, 1964-","person","014644440","Monograph","Language material ; Text","Volume","","9785170405848 ; 9785946633291","","Kuraev, Andreĭ","","person","","Kuraev, Andreĭ [person] ; Кураев, Андрей [person]","Fantazii︠a︡ i pravda 'Koda da Vinchi","Фантазия и правда 'Кода да Винчи'","","","Russia","Moskva ; Москва","Zebra E ; Зебра Е","2007","","526 pages, 21 cm","","YF.2008.a.22231","","Russian",""
"Bulgakov, Mikhail, 1891-1940","person","014644440","Monograph","Language material ; Text","Volume","","9785170405848 ; 9785946633291","","Kuraev, Andreĭ","","person","","Kuraev, Andreĭ [person] ; Кураев, Андрей [person]","Fantazii︠a︡ i pravda 'Koda da Vinchi","Фантазия и правда 'Кода да Винчи'","","","Russia","Moskva ; Москва","Zebra E ; Зебра Е","2007","","526 pages, 21 cm","","YF.2008.a.22231","","Russian",""
"Bulgakov, Mikhail, 1891-1940--Philosophy","person","014644440","Monograph","Language material ; Text","Volume","","9785170405848 ; 9785946633291","","Kuraev, Andreĭ","","person","","Kuraev, Andreĭ [person] ; Кураев, Андрей [person]","Fantazii︠a︡ i pravda 'Koda da Vinchi","Фантазия и правда 'Кода да Винчи'","","","Russia","Moskva ; Москва","Zebra E ; Зебра Е","2007","","526 pages, 21 cm","","YF.2008.a.22231","","Russian",""
"COMPUTERS / Programming / Object Oriented","general term","016822176","Monograph","Language material ; Text","Volume","GBB484418","9781118581209","","Kak, Avinash C.","","person","","Kak, Avinash C. [person]","Designing with objects : object-oriented design patterns explained with stories from Harry Potter","","","","United States of America","Hoboken, New Jersey","Wiley","2015","","xix, 484 pages, illustrations, 26 cm","005.117","YC.2015.b.555","","English","Additional physical form: Kak, Avinash C. Online version. Designing with objects. Hoboken, New Jersey : John Wiley & Sons, Inc, 2014. 9781118902561 ; Includes index"
"Cedarville School District (Ark.)--Trials, litigation, etc","organisation","019490681","Monograph","Language material ; Text","Volume","GBC006834","9781476674971","","Meadors, Brian","1969-","person","author","Meadors, Brian, 1969-, author [person]","Harry Potter and the Cedarville censors : inside the precedent-setting defeat of an Arkansas book ban","","","","United States of America","Jefferson, North Carolina","McFarland","2019","","x, 207 pages, 23 cm","344.73092","YC.2020.a.484","","English",""
"Change in literature","general term","020304996","Monograph","Language material ; Text","Volume","GBC263041","9781476681344","","","","","","Mamary, Anne J. M., 1964-, editor [person]","The alchemical Harry Potter : essays on transfiguration in J.K. Rowling's novels","","","","United States of America","Jefferson, North Carolina","McFarland","2021","","xi, 311 pages, black and white illustrations, 23 cm","823.914","YKL.2022.a.10080","","English",""
"Character merchandising","general term","013180862","Monograph","Language material ; Text","Volume","GBA534250","9781904879305","","Brown, Stephen","1955 March 23-","person","","Brown, Stephen, 1955 March 23- [person]","Wizard! : Harry Potter's brand magic","","Great brand stories","","England","London","Cyan","2005","","191 pages, illustrations, 18 cm","658.827","YK.2008.a.5468 ; m06/.35049","","English",""
"Characters and characteristics in literature","general term","014493115","Monograph","Language material ; Text","Volume","GBA806186","9780415957656","","Markell, Kathryn A.","","person","","Markell, Kathryn A. [person] ; Markell, Marc A. [person]","The children who lived : using Harry Potter and other fictional characters to help grieving children and adolescents","","","","England ; United States of America","London","Routledge","2008","","xxvi, 182 pages, illustrations, 23 cm + 1 CD (4 3/4 in)","155.937083","EMC.2008.a.679 ; Vm09/.5052","","English",""
"Characters and characteristics in motion pictures","general term","017437402","Monograph","Language material ; Still image ; Text","Volume","GBB590965","9781783296033","","Revenson, Jody","","person","author","Revenson, Jody, author [person]","Harry Potter. The character vault","Character vault","","","England","London","Titan","2015","","207 pages, illustrations (black and white and colour), 29 cm + 2 posters (folded)","791.4375","LC.31.b.15083","","English","Includes Death Eater masks booklet tipped in on page 179 ; Includes two posters in pouch attached to inside back cover"
"Characters and characteristics in motion pictures","general term","018930893","Monograph","Language material ; Still image ; Text","Volume","GBB8C2832","9780008294397","","Revenson, Jody","","person","author","Revenson, Jody, author [person]","Fantastic beasts and where to find them : movie-making news : the stories behind the magic : exclusive interviews : filmmaking facts : previously untold tales","Fantastic beasts and where to find them (Motion picture) ; Fantastic beasts. Crimes of Grindelwald (Motion picture) ; Movie-making news : the stories behind the magic","Wizarding world","","England","London","HarperCollins","2018","","80 pages, 16 unnumbered pages of plates, illustrations (black and white and colour), 29 cm","791.4375","LC.31.b.20566","","English","'Discover all the behind scenes secrets from the first film and get a sneak-peek at ... Fantastic beasts, The crimes of Grindelwald.' ; Includes holographic image on cover"
"Characters and characteristics in motion pictures","general term","019048223","Monograph","Language material ; Still image ; Text","Volume","GBB8G7456","9780008204655","","Bergstrom, Signe","","person","author","Bergstrom, Signe, author [person]","The archive of magic : the film wizardry of Fantastic beasts: the crimes of Grindelwald","","","","England","London","HarperCollins","2018","","159 pages, chiefly illustrations (black and white and colour), 29 cm","791.4372","LC.31.b.21003","","English","Includes removable facsimile reproductions of props and paper ephemera from the movie ; Page 4 of cover folds over front of book and magnetically locks in place ; Some pages folded out"
"Characters and characteristics","general term","017808290","Monograph","Language material ; Text","Volume","","9783837631371","","Cuntz-Leng, Vera","1979-","person","author","Cuntz-Leng, Vera, 1979-, author [person]","Harry Potter que (e) r : eine Filmsaga im Spannungsfeld von Queer Reading, Slash-Fandom und Fantasyfilmgenre","Harry Potter quer","","","Germany","Bielefeld","Transcript","2015","","485 pages, 60 illustrations (some colour), 23 cm","","YF.2016.a.10946","Criticsm and interpretation","German","Additional physical form: 9783839431375 ; Originally presented as the author's dissertation--Universität Tübingen, 2014"
